广西移动CDN版,#genre#

咪咕4K 31M2160HDR,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225863/index.m3u8
纯享4K 13M2160,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225726/index.m3u8
4K 28M2160,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225863/index.m3u8
CCTV1 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225654/index.m3u8
CCTV1 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225769/index.m3u8
CCTV1 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225885/index.m3u8
CCTV1 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225888/index.m3u8
CCTV1 8M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225674/index.m3u8
CCTV2 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225657/index.m3u8
CCTV2 8M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225676/index.m3u8
CCTV3 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225713/index.m3u8
CCTV3 8M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225677/index.m3u8
CCTV4 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225761/index.m3u8
CCTV4 8M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225753/index.m3u8
CCTV5 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225660/index.m3u8
CCTV5 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225712/index.m3u8
CCTV5 8M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225680/index.m3u8
CCTV5 11M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225801/index.m3u8
CCTV5+ 8M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225621/index.m3u8
CCTV6 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225715/index.m3u8
CCTV6 8M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225683/index.m3u8
CCTV7 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225700/index.m3u8
CCTV7 8M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225627/index.m3u8
CCTV8 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225716/index.m3u8
CCTV8 8M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225630/index.m3u8
CCTV9 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225663/index.m3u8
CCTV9 8M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225633/index.m3u8
CCTV10 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225704/index.m3u8
CCTV10 8M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225624/index.m3u8
CCTV11 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225739/index.m3u8
CCTV11 8M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225750/index.m3u8
CCTV12 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225645/index.m3u8
CCTV12 8M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225670/index.m3u8
CCTV13 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225742/index.m3u8
CCTV13 8M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225787/index.m3u8
CCTV14 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225648/index.m3u8
CCTV14 8M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225673/index.m3u8
CCTV15 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225693/index.m3u8
CCTV15 8M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225830/index.m3u8
CCTV17 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225766/index.m3u8
CCTV17 8M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225833/index.m3u8
东南卫视 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225696/index.m3u8
东方卫视 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225718/index.m3u8
东方卫视 8M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225682/index.m3u8
北京卫视 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225651/index.m3u8
北京卫视 8M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225664/index.m3u8
天津卫视 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225675/index.m3u8
天津卫视 8M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225694/index.m3u8
安徽卫视 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225701/index.m3u8
安徽卫视 8M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225671/index.m3u8
山东卫视 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225672/index.m3u8
山东卫视 8M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225642/index.m3u8
广东卫视 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225666/index.m3u8
广东卫视 8M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225685/index.m3u8
江苏卫视 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225722/index.m3u8
江苏卫视 8M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225636/index.m3u8
江西卫视 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225669/index.m3u8
浙江卫视 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225731/index.m3u8
浙江卫视 8M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225695/index.m3u8
深圳卫视 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225725/index.m3u8
深圳卫视 8M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225691/index.m3u8
湖北卫视 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225721/index.m3u8
湖北卫视 8M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225689/index.m3u8
湖南卫视 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225719/index.m3u8
湖南卫视 8M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225692/index.m3u8
辽宁卫视 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225779/index.m3u8
辽宁卫视 8M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225639/index.m3u8
重庆卫视 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225745/index.m3u8
重庆卫视 8M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225679/index.m3u8
黑龙江卫视 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225734/index.m3u8
黑龙江卫视 8M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225686/index.m3u8
上海纪实人文 8M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225688/index.m3u8
北京冬奥纪实 8M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225667/index.m3u8
NewTV中国功夫 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225690/index.m3u8
NewTV军事评论 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225749/index.m3u8
NewTV军旅剧场 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225727/index.m3u8
NewTV农业致富 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225687/index.m3u8
NewTV动作电影 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225703/index.m3u8
NewTV古装剧场 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225706/index.m3u8
NewTV家庭剧场 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225743/index.m3u8
NewTV怡伴健康 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225684/index.m3u8
NewTV惊悚悬疑 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225746/index.m3u8
NewTV明星大片 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225733/index.m3u8
NewTV武搏世界 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225758/index.m3u8
NewTV海外剧场 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225763/index.m3u8
NewTV潮妈辣婆 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225709/index.m3u8
NewTV炫舞未来 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225728/index.m3u8
NewTV爱情喜剧 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225698/index.m3u8
NewTV精品体育 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225724/index.m3u8
NewTV精品大剧 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225737/index.m3u8
NewTV精品纪录 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225681/index.m3u8
NewTV金牌综艺 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225755/index.m3u8
黑莓动画 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225710/index.m3u8
黑莓电影 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225740/index.m3u8
黑莓电竞 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225760/index.m3u8
咪咕视频 1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225837/index.m3u8
咪咕视频 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225771/index.m3u8
咪咕视频 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225774/index.m3u8
咪咕视频 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225777/index.m3u8
咪咕视频 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225780/index.m3u8
咪咕视频 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225783/index.m3u8
咪咕视频 4M1080,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225786/index.m3u8
